Industry,Apr25,May25,Jun25,Jul25,Aug25,Sep25,Oct25,Nov25,Dec25,Jan26,Feb26,Mar26,Apr26,FY26_Total
E-retail,3.185383,3.703419,3.631268,3.801541,4.228550,8.284299,6.584447,5.396775,6.002146,5.922977,5.288825,6.593524,6.127887,62.623154
Gaming,2.716854,2.803167,2.827051,3.001421,2.290069,0.102414,0.082764,0.023651,0.026733,0.028268,0.025627,0.023368,0.042426,13.951388
Lending/ Repayment,1.851935,2.011753,2.117258,2.271904,2.149930,2.125829,2.083925,2.031754,2.314826,2.456712,2.476393,3.063402,2.429102,26.955620
Travel,1.250344,1.395158,1.443538,1.469170,1.574878,1.580951,1.724105,1.822867,1.835949,1.841976,1.665115,1.822263,1.810603,19.426316
Grocery Delivery,1.277361,1.312823,1.247469,1.303253,1.389278,1.376303,1.479454,1.489747,1.615541,1.685453,1.663854,1.883855,1.866510,17.724392
Partnership,0.545225,1.536466,1.971524,0.519818,1.206541,1.940630,0.775874,0.682142,4.128635,3.452579,0.466383,7.007577,0.453517,24.233396
Insurance,0.718911,0.750252,0.776254,0.847820,0.840330,0.919807,0.989106,0.951898,1.099897,1.092183,1.121078,1.560951,1.103341,11.668486
Others,0.401195,0.418709,0.409143,0.477368,0.498157,0.498951,0.512476,0.514286,0.559682,1.126459,1.233430,1.632436,1.662448,8.282291
Telecom,0.700368,0.716601,0.708262,0.736004,0.760543,0.729893,0.731122,0.706539,0.747597,0.664366,0.594075,0.662154,0.626134,8.457522
FinTech,0.594310,0.602546,0.618121,0.644017,0.685842,0.702126,0.668546,0.672650,0.659237,0.748119,0.695206,0.655036,0.659902,7.945757
Banking,0.525592,0.525114,0.525476,0.526496,0.690541,0.799369,0.924712,1.029217,1.197571,1.532666,1.581704,1.621132,1.756073,11.479590
OTT,0.281246,0.299356,0.345876,0.349220,0.386170,0.513791,0.399821,0.432680,0.461546,0.513576,0.504056,0.556310,0.489207,5.043649
Food delivery,0.516888,0.513853,0.484352,0.488126,0.518001,0.532141,0.546197,0.538091,0.528012,0.522976,0.502489,0.592352,0.589407,6.283478
Ticketing,0.470511,0.433251,0.381590,0.535597,0.573497,0.561133,0.575949,0.398510,0.692996,0.555300,0.307929,0.888450,0.648904,6.374714
Education,0.467135,0.515363,0.474633,0.444641,0.426839,0.339804,0.262000,0.272231,0.363463,0.369833,0.309619,0.647581,0.609112,4.893141
Lotuspay,0.337872,0.370028,0.405716,0.445444,0.467917,0.440054,0.481763,0.429910,0.471143,0.484858,0.472595,0.557213,0.463533,5.364513
Billpay,0.439822,0.438021,0.511069,0.598652,0.548195,0.611559,0.594157,0.955833,0.875888,0.453502,0.419830,0.343788,0.356560,6.790315
Classified,0.316597,0.311023,0.296744,0.301014,0.318707,0.324923,0.348535,0.326170,0.328166,0.335677,0.333487,0.371349,0.377296,3.912392
NBFC,0.174406,0.163041,0.161035,0.193920,0.220044,0.263178,0.257730,0.254471,0.302094,0.325926,0.299243,0.294569,0.289503,2.909657
Investments,0.146590,0.127265,0.131288,0.140385,0.121433,0.138398,0.178347,0.128680,0.171814,0.197180,0.152847,0.224121,0.135063,1.858349
E-pharma,0.308848,0.329876,0.333647,0.362089,0.394059,0.408329,0.408242,0.427459,0.408693,0.433673,0.428375,0.579944,0.593178,4.823234
Hospitality,0.118342,0.130377,0.139525,0.124871,0.123421,0.118011,0.128006,0.199908,0.164762,0.146620,0.142230,0.156436,0.165088,1.692507
UPI,28.786731,29.475106,30.446624,32.588974,33.665871,34.607132,32.964251,31.532933,34.543231,33.350230,30.223024,35.281914,32.002630,387.466021
