Product,Merchant,Txns_FY25_Cr,GMV_FY25_Cr,Revenue_FY25_Cr,Txns_FY26_Cr,GMV_FY26_Cr,Revenue_FY26_Cr,Revenue_Var_Pct
"Juspay Safe, PA, Hypercredit",Flipkart Internet Private Limited - GODEL,0.5869,2310.10,0.5093,2.8375,4651.77,2.0238,2.9737
"Juspay Payment Page, Juspay Express Checkout, Juspay Payouts",TATA PAYMENTS LIMITED,1.3013,2268.26,1.0106,1.8812,3210.23,1.2039,0.1913
Juspay Payment Page,mPokket Financial Services Private Limited,0.9091,1233.99,0.9505,1.3504,1676.32,1.1308,0.1896
Juspay Payment Page,ZEPTO MARKETPLACE PRIVATE LIMITED,3.6486,1326.51,0.6220,7.0025,2461.51,1.0624,0.7079
Juspay Payment Page,FASHNEAR TECHNOLOGIES PRIVATE LIMITED,3.1063,917.78,0.4982,6.2875,1732.37,0.9136,0.8339
Juspay Express Checkout,INTERGLOBE AVIATION LIMITED,0.1369,1528.94,0.7017,0.1508,1841.79,0.8254,0.1763
"Juspay Payment Page, Juspay Express Checkout, Juspay Payouts",SWIGGY LIMITED,2.1941,1140.15,0.5230,2.3168,1490.74,0.6085,0.1634
Juspay Express Checkout,RELIANCE RETAIL LIMITED - AJIO,0.1257,283.94,0.2272,0.1483,530.32,0.4243,0.8677
"Juspay Payment Page, Juspay Safe",Myntra Designs Pvt. Ltd,0.3620,763.58,0.4534,0.6175,1126.31,0.4232,-0.0666
Juspay Express Checkout,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,0.0899,1994.14,0.4018,0.1280,2589.71,0.3842,-0.0437
